,01,02,03,04,05,06,07,08,09,10,11,12
A,DO_SC06,DO_SC03,DO_SC10,DO_SC02,Blank (MgCl2 control),SS_SC01,DO_SC01,DO_SC16,SS_SC03,DO_SC13,DO_SC14,Negative Control
B,SS_SC13,SS_SC33,Negative Control,SS_SC04,SS_SC21,SS_DC3000,DO_SC03,DO_SC14,SS_SC02,SS_SC25,DO_SC02,SS_SC35
C,SS_SC09,SS_SC10,SS_SC02,SS_SC25,DO_SC09,DO_SC13,SS_SC26,SS_SC26,FSC SM,SS_SC04,DO_SC04,SS_SC23
D,SS_SC14,SS_SC16,SS_SC10,SS_DC3000,DO_SC14,Fresh media,SS_SC03,SS_SC33,SS_SC16,SS_SC14,DO_SC06,SS_SC33
E,SS_SC06,SS_SC03,DO_SC16,SS_SC21,FSC + DC3000,DO_SC01,SS_SC35,DO_SC06,FSC + DC3000,DO_SC10,Fresh media,SS_SC13
F,SS_SC35,DO_SC03,SS_SC06,SS_SC04,DO_SC16,Negative Control,DO_SC04,SS_SC06,SS_SC13,DO_SC02,SS_SC25,SS_SC02
G,SS_SC09,SS_SC01,DO_SC09,SS_SC21,DO_SC13,FSC SM,DO_SC10,SS_SC09,SS_SC26,SS_SC23,DO_SC01,Negative Control
H,Fresh media,Blank (MgCl2 control),SS_SC16,SS_SC23,SS_SC01,DO_SC04,SS_DC3000,FSC + DC3000,SS_SC10,SS_SC14,DO_SC09,Fresh media
