,01,02,03,04,05,06,07,08,09,10,11,12
A,DO_SC26,SS_SC04,DO_Pa,DO_SC25,FSC SM,DO_SC33,DO_SC21,SS_SC13,SS_SC09,DO_SC33,SS_SC23,DO_SC23
B,SS_SC06,Negative Control,DO_SC33,DO_Ps,SS_SC02,SS_SC35,SS_SC26,SS_SC25,DO_SC21,SS_SC01,Fresh media,Fresh media
C,DO_GN,SS_SC01,SS_SC21,DO_EE,FSC SM,SS_SC16,DO_SC26,SS_SC35,SS_SC14,SS_SC16,SS_SC16,DO_Ps
D,SS_SC26,DO_GP,SS_SC35,DO_SC35,SS_SC13,DO_GN,SS_SC14,DO_SC23,DO_EE,SS_SC10,DO_EE,SS_SC25
E,Fresh media,SS_SC33,SS_SC02,Fresh media,FSC SM,SS_SC23,DO_GP,SS_SC13,DO_Ps,SS_SC06,Fresh media,Blank (MgCl2 control)
F,SS_SC03,DO_SC25,DO_GP,SS_SC02,DO_Pa,SS_SC25,SS_SC04,SS_SC03,SS_SC04,SS_SC33,Blank (MgCl2 control),DO_SC23
G,DO_SC26,SS_SC21,SS_SC33,SS_SC06,SS_SC26,DO_GN,DO_SC21,SS_SC10,Negative Control,Negative Control,DO_SC35,SS_SC09
H,FSC SM,SS_SC01,SS_SC21,SS_SC23,FSC SM,SS_SC09,SS_SC03,DO_SC25,DO_Pa,DO_SC35,SS_SC14,SS_SC10
